City,Lat,Long,CompositeIndex,GroceryItems,Housing,Utilities,Transportation,HealthCare,Miscellaneous
"South, Bend, IN",41.6833813,-86.2500066,91.9,91.3,84.2,92.3,95.4,96.3,97.3
"Spokane, WA",47.6587802,-117.4260466,93.9,92.4,85.7,89.5,109.1,110,96.5
"Springfield, IL",39.7817213,-89.6501481,85.8,89.7,70.1,79.8,104.5,106.5,91.7
"Springfield, MO",37.2089572,-93.2922989,88,93.2,76.8,83.2,96.8,95.3,93.8
"St., Cloud, MN",45.5579451,-94.1632404,98.3,101.7,80.7,117.2,99.9,102,105.8
"St., George, UT",37.0952778,-113.5780556,95.9,99.9,94.2,85.9,100.4,87.8,98.4
"St., Joseph, MO",39.757944,-94.836541,92.3,95.4,86.5,93.7,90.1,94.9,96
"St., Louis, MO-IL",38.6105426,-90.3371889,90.4,98.4,74.6,92.9,99,100.8,96.5
"St., Paul, MN",44.9537029,-93.0899578,110,107,112.9,106.8,103.4,106.7,112.2
"Stamford, CT",41.0534302,-73.5387341,146.9,121.8,212.6,121.3,110,113.3,122.1
"Staunton-Augusta, County, VA",38.149576,-79.0716958,96.2,98.3,93.7,100,94.5,98.1,96.6
"Stillwater, OK",36.1156071,-97.0583681,90.1,95.5,81.2,97.9,88.8,95.7,93.1
"Sumter, SC",33.9204354,-80.3414693,96.3,103.4,90.2,108.4,97.8,91.3,95.3
"Syracuse, NY",43.0481221,-76.1474244,101.5,98.6,91.4,118.4,108.3,97.8,104.8
"Tacoma, WA",47.2528768,-122.4442906,109.5,111.3,116.6,83.1,109,115.1,110.2
"Tampa, FL",27.950575,-82.4571776,92.4,96.3,84.7,93.8,103.3,98.4,93.4
"Temple, TX",31.0982344,-97.342782,87.4,83.7,71.8,107.6,97.9,91.2,92.8
"Thomasville-Lexington, NC",35.8240265,-80.2533838,89.2,105.5,77.2,80.7,88.8,109.1,93.5
"Topeka, KS",39.0558235,-95.6890185,91.8,92.9,84,85.8,97.4,93.2,98.1
"Troy-Miami, County, OH",40.0394982,-84.2032767,95.4,96.4,83.9,123.3,99.2,89.2,96.2
"Truckee-Nevada, County, CA",39.327962,-120.1832533,146.9,132.2,208.3,114.3,121.5,112,120.5
"Tucson, AZ",32.2217429,-110.926479,96.5,97.2,91.9,86.7,104.6,99.2,100.5
"Tulsa, OK",36.1539816,-95.992775,88.4,91.9,66.5,95.2,99.1,94.6,100.5
"Tupelo, MS",34.2576066,-88.7033859,88.1,91.1,72.3,110.1,93.8,86.6,92.7
"Tuscaloosa, AL",33.2098407,-87.5691735,94.6,104.9,80.6,105.9,102.8,90.2,97.4
"Twin, Falls, ID",42.5629668,-114.4608711,91.5,95.5,81.4,97,99.2,93.3,94.6
"Tyler, TX",32.3512601,-95.3010624,96.3,92.7,91.5,102.1,100.2,93.1,99.3
"Valdosta, GA",30.8327022,-83.2784851,94.1,111.8,85.3,89,96.7,102.2,94.5
"Vancouver, WA",45.6387281,-122.6614861,94.8,96.9,82.2,91.8,106.1,114.3,100.1
"Vero, Beach-Indian, River, FL",27.6386434,-80.3972736,97.4,109.1,83.5,104.5,97.8,97.7,102.5
"Waco, TX",31.549333,-97.1466695,88.9,81.8,88.5,85.3,97.6,90.9,90.5
"Washington-Arlington-Alexandria, DC-VA",38.8951118,-77.0363658,140.1,107.9,226.4,97.3,109.3,103.4,103.7
"Waterloo-Cedar, Falls, IA",42.5102632,-92.3862973,91.7,89.5,89.6,88.2,99.4,95.9,92.8
"Wausau, WI",44.9591352,-89.6301221,96.5,100,89.6,98.4,97.5,101.3,99.7
"Weatherford, TX",32.7592955,-97.7972544,91.4,95.9,79.7,107.4,96.2,93.1,93.3
"Wichita, Falls, TX",33.9137085,-98.4933873,86.5,91.9,84,84.4,82.5,94.5,87.4
"Wichita, KS",37.6888889,-97.3361111,91.8,90.5,83.6,89.7,100.6,96.7,97.1
"Williamsport-Lycoming, Co, PA",41.2411897,-77.0010786,100.7,103.5,96.3,127.7,91.8,92.6,98.9
"Wilmington, DE",39.7458333,-75.5466667,105.2,108.1,102,115.4,98.6,108.7,105.2
"Wilmington, NC",34.2257255,-77.9447102,98.8,108,89.7,108.5,97.6,100.1,100.3
"Winchester, VA-WV",39.3167232,-78.3842227,102.3,104.6,94.5,98.2,96.8,105,110.9
"Winston-Salem, NC",36.0998596,-80.244216,92.4,98.5,82.9,88.5,83.3,99.3,101.5
"Wooster, OH",40.8050565,-81.935143,92.6,99.5,72.1,123.4,103,94.6,95.2
"Yakima, WA",46.6020711,-120.5058987,95.8,99.8,86.9,86.8,105.5,117.1,99.2
"York, County, PA",39.9512496,-76.7336521,102.1,98.4,106,102.6,97.7,96.8,102
"Youngstown-Warren, OH",41.0799329,-80.6632103,90.4,92.6,77.7,110.2,92.4,86.9,94.4
"Yuma, AZ",32.6926512,-114.6276916,101.2,107.4,96.4,112.2,104.6,107.8,97.6
